ketinggian_air,debit_air,curah_hujan,status,created_at
2.45,53.46,25.59,Aman,2026-04-25 22:46:30
2.42,52.87,29.87,Aman,2026-04-25 23:46:30
2.38,53.43,27.49,Aman,2026-04-26 00:46:30
2.62,55.40,32.72,Aman,2026-04-26 01:46:30
2.47,54.35,27.38,Aman,2026-04-26 02:46:30
2.27,50.62,29.88,Aman,2026-04-26 03:46:30
2.28,51.26,29.62,Aman,2026-04-26 04:46:30
2.52,54.95,31.88,Aman,2026-04-26 05:46:30
2.53,53.17,30.26,Aman,2026-04-26 06:46:30
2.39,51.34,26.92,Aman,2026-04-26 07:46:30
2.57,58.22,28.17,Aman,2026-04-26 08:46:30
2.53,55.40,30.30,Aman,2026-04-26 09:46:30
2.37,52.61,27.49,Aman,2026-04-26 10:46:30
2.60,56.83,32.38,Aman,2026-04-26 11:46:30
2.47,52.39,32.10,Aman,2026-04-26 12:46:30
2.60,57.67,27.99,Aman,2026-04-26 13:46:30
2.85,62.27,37.71,Aman,2026-04-26 14:46:30
2.61,58.75,28.59,Aman,2026-04-26 15:46:30
3.10,68.45,37.24,Waspada,2026-04-26 16:46:30
3.11,67.93,40.51,Waspada,2026-04-26 17:46:30
3.28,70.78,37.28,Waspada,2026-04-26 18:46:30
3.05,66.41,33.78,Waspada,2026-04-26 19:46:30
2.84,63.35,36.81,Aman,2026-04-26 20:46:30
3.53,76.63,40.38,Waspada,2026-04-26 21:46:30
3.72,83.19,41.69,Waspada,2026-04-26 22:46:30
3.95,85.98,46.79,Waspada,2026-04-26 23:46:30
3.88,84.70,44.73,Waspada,2026-04-27 00:46:30
3.70,81.42,40.99,Waspada,2026-04-27 01:46:30
3.91,85.34,44.03,Waspada,2026-04-27 02:46:30
3.81,84.77,45.01,Waspada,2026-04-27 03:46:30
3.77,84.15,43.19,Waspada,2026-04-27 04:46:30
4.02,87.29,45.01,Siaga,2026-04-27 05:46:30
3.08,65.63,38.64,Waspada,2026-04-27 06:46:30
3.30,70.41,42.53,Waspada,2026-04-27 07:46:30
